year;d_0;S_2802;Smax;d_smax;H_2802;H_max;d_hmax;X;X1;X2;Xs;Q12;Q01;Q02;W12;W01;W02;Y12;Y01;Y02;Y_sum
1991;06.12.1990;26;53;20.02.1991;236;520;29.03.1991;92.7;45.1;27.7;108;315;213;160;843.7;570.5;387.1;30.9;20.9;14.2;66
1992;05.12.1991;67;67;28.02.1992;123;687;01.04.1992;135;58.1;57.2;135;105;189;122;281.2;506.2;295.1;10.3;18.5;10.8;39.7
1993;23.11.1992;49;49;28.02.1993;151;604;12.04.1993;104;42.9;41.7;104;158;159;236;423.2;425.9;570.9;15.5;15.6;20.9;52
1994;07.11.1993;95;105;10.03.1994;116;941;16.04.1994;133;44.1;51.2;126;72.5;59.3;53.9;194.2;158.8;130.4;7.1;5.8;4.8;17.7
1995;11.11.1994;28;28;28.02.1995;280;610;12.03.1995;176;13.8;11.8;181;92.2;115;187;246.9;308;452.4;9;11.3;16.6;36.9
1996;01.11.1995;75;81;20.02.1996;79;483;17.04.1996;95.3;33.2;17.6;110;84.3;59.3;49.9;225.8;158.8;120.7;8.3;5.8;4.4;18.5
1997;09.12.1996;19;44;10.02.1997;228;374;13.03.1997;70.7;42.8;10.2;99.2;267;81.1;76.9;715.1;217.2;186;26.2;8;6.8;41
1998;26.11.1997;8;70;10.02.1998;375;484;22.04.1998;109;82.9;48.3;145;144;208;202;385.7;557.1;488.7;14.1;20.4;17.9;52.4
1999;08.11.1998;120;120;28.02.1999;159;838;14.04.1999;134;48.3;46;164;137;188;128;366.9;503.5;309.7;13.4;18.4;11.3;43.2
2000;15.11.1999;59;62;20.02.2000;134;764;16.04.2000;169;112;104;174;99.7;106;116;267;283.9;280.6;9.8;10.4;10.3;30.5
2001;18.12.2000;69;107;10.03.2001;213;654;11.04.2001;88.2;20.1;39.8;107;261;166;139;699.1;444.6;336.3;25.6;16.3;12.3;54.2
2002;28.11.2001;28;75;20.01.2002;287;507;13.03.2002;28.1;20;1;75.4;87;72.7;346;233;194.7;837;8.5;7.1;30.7;46.3
2003;29.11.2002;55;60;20.02.2023;59;378;19.05.2003;76.5;114;113;76.7;53.2;43.2;43.8;142.5;115.7;106;5.2;4.2;3.9;13.3
2004;01.12.2003;164;165;10.03.2004;233;879;31.03.2004;213;18.8;28.4;170;250;163;164;669.6;436.6;396.7;24.5;16;14.5;55.1
2005;17.11.2004;45;75;31.03.2005;235;672;14.04.2005;294;299;65.8;235;214;445;167;573.2;1191.9;404;21;43.7;14.8;79.5
2006;18.11.2005;79;115;20.03.2006;94;555;17.04.2006;246;77.3;109;210;71;59.4;43;190.2;159.1;104;7;5.8;3.8;16.6
2007;23.01.2007;47;47;28.02.2007;295;594;23.03.2007;42.7;38.3;35.2;45.1;301;486;173;806.2;1301.7;418.5;29.5;47.7;15.3;92.5
2008;24.12.2007;0;36;20.02.2008;281;475;19.03.2008;65.2;66.4;45;88;156;96.9;103;417.8;259.5;249.2;15.3;9.5;9.1;33.9
2009;08.12.2008;82;91;20.03.2009;243;669;08.04.2009;142;36.4;49.6;130;323;132;174;865.1;353.5;420.9;31.7;13;15.4;60.1
2010;08.12.2009;143;152;10.03.2010;147;873;06.04.2010;168;35.6;46.5;159;300;117;72.9;803.5;313.4;176.4;29.4;11.5;6.5;47.4
2011;27.11.2010;140;167;20.03.2011;174;758;14.04.2011;198;30.4;38.5;188;137;117;113;366.9;313.4;273.4;13.4;11.5;10;34.9
2012;20.12.2011;92;106;10.03.2012;159;825;24.04.2012;166;106;118;110;217;163;103;581.2;436.6;249.2;21.3;16;9.1;46.4
2013;02.12.2012;79;130;20.03.2013;172;929;21.04.2013;147;30.3;71.9;109;289;143;122;774.1;383;295.1;28.4;14;10.8;53.2
2014;06.12.2013;2;11;20.02.2014;226;313;29.03.2014;113;29.9;23.2;117;231;269;128;618.7;720.5;309.7;22.7;26.4;11.3;60.4
2015;16.11.2014;26;52;10.02.2015;88;371;21.04.2015;144;78.1;70.1;153;40.3;60.1;72.9;107.9;161;176.4;4;5.9;6.5;16.3
2016;27.12.2015;27;60;05.03.2016;77;386;03.05.2016;137;96.9;116;129;67.6;62.5;85.4;181.1;167.4;206.6;6.6;6.1;7.6;20.3
2017;04.11.2016;58;62;20.02.2017;210;497;24.03.2017;171;167;39.7;198;204;221;84.5;546.4;591.9;204.4;20;21.7;7.5;49.2
2018;08.01.2018;62;80;10.03.2018;197;594;13.04.2018;23.5;23.5;24.4;22.5;391;492;173;1047.3;1317.8;418.5;38.4;48.3;15.3;102
2019;20.11.2018;80;111;31.01.2019;55;388;26.03.2019;107;66.7;43.3;128;43.1;43.5;54.3;115.4;116.5;131.4;4.2;4.3;4.8;13.3
2020;22.11.2019;2;5;10.02.2020;294;416;14.03.2020;115;60.9;34.7;120;173;250;265;463.4;669.6;641.1;17;24.5;23.5;65
2021;01.12.2020;14;57;25.02.2021;139;560;06.04.2021;124;55.6;51.4;128;140;184;145;375;492.8;350.8;13.7;18.1;12.8;44.6
2022;04.12.2021;72;85;10.02.2022;184;518;16.04.2022;112;61.7;36.6;137;202;105.2;101;541;281.8;244.3;19.8;10.3;9;39.1
2023;16.11.2022;115;128;10.03.2023;163;940;04.04.2023;283;99.7;116;264;141;543;249;377.7;1454.4;602.4;13.8;53.3;22.1;89.2
