year;d_0;S_2802;Smax;d_smax;H_2802;H_max;d_hmax;X;X1;X2;Xs;Q12;Q01;Q02;W12;W01;W02;Y12;Y01;Y02;Y_sum
1991;06.12.1990;19;37;20.02.1991;170;350;24.03.1991;58.6;18.1;10.5;65.7;93.0;61.4;47.4;249;164;115;24.4;16.1;11.2;51.8
1992;04.12.1991;30;30;28.02.1992;149;338;04.04.1992;82.4;43.7;43.7;82.4;49.8;46.8;38.7;133;125;94;13.1;12.3;9.2;34.5
1993;28.11.1992;24;29;10.03.1993;129;363;22.03.1993;91.9;16.0;17.4;91.3;51.1;57.4;43.8;137;154;106;13.4;15.1;10.4;38.9
1994;05.11.1993;66;76;20.03.1994;130;434;09.04.1994;140.0;21.3;42.1;121.4;38.4;61.4;39.6;103;164;96;10.1;16.1;9.4;35.6
1995;11.11.1994;37;35;20.01.1995;307;358;11.03.1995;80.4;71.2;6.7;147.6;34.1;39.1;87.3;91;105;211;9.0;10.3;20.7;39.9
1996;03.11.1995;35;38;10.03.1996;153;347;11.04.1996;88.8;10.7;17.4;82.1;34.8;25.5;29.1;93;68;70;9.1;6.7;6.9;22.7
1997;15.12.1996;6;38;10.02.1997;204;293;06.03.1997;44.6;34.4;13.9;65.8;52.7;35.5;39.4;141;95;95;13.8;9.3;9.3;32.5
1998;27.11.1997;0;40;10.02.1998;328;346;17.04.1998;90.9;112.4;82.1;120.3;36.9;48.4;67.4;99;130;163;9.7;12.7;16.0;38.4
1999;08.11.1998;73;85;20.03.1999;218;401;07.04.1999;118.9;9.9;31.8;97.3;68.0;84.7;62.1;182;227;150;17.9;22.2;14.7;54.8
2000;15.11.1999;75;87;20.03.2000;229;397;11.04.2000;132.0;52.7;70.9;113.8;48.3;46.3;70.0;129;124;169;12.7;12.2;16.6;41.4
2001;24.11.2000;73;87;10.03.2001;175;362;22.03.2001;174.8;28.2;58.6;144.2;64.0;83.7;60.0;171;224;145;16.8;22.0;14.2;53.0
2003;29.11.2002;54;61;10.02.2003;125;326;19.04.2003;60.8;56.7;47.5;67.3;24.0;24.0;26.5;64;64;64;6.3;6.3;6.3;18.9
2004;01.12.2003;92;115;10.03.2004;167;430;30.03.2004;173.5;26.4;50.4;165.5;41.1;44.8;47.9;110;120;116;10.8;11.8;11.4;33.9
2005;20.11.2004;55;92;20.03.2005;145;361;15.04.2005;172.0;4.4;48.8;128.1;42.6;62.0;37.6;114;166;91;11.2;16.3;8.9;36.4
2006;30.11.2005;55;98;20.03.2006;123;409;06.04.2006;121.7;34.2;72.4;82.5;34.5;30.2;20.4;92;81;49;9.1;7.9;4.8;21.8
2007;23.01.2007;91;91;28.02.2007;170;355;22.03.2007;69.1;27.0;24.3;70.8;55.9;77.5;67.4;150;208;163;14.7;20.4;16.0;51.0
2008;24.12.2007;15;30;31.01.2008;322;343;07.03.2008;22.8;72.1;31.9;66.1;55.5;32.0;54.5;149;86;132;14.6;8.4;12.9;35.9
2009;09.12.2008;61;65;10.03.2009;201;365;10.04.2009;118.3;34.0;47.0;104.7;70.7;66.8;64.1;189;179;155;18.6;17.5;15.2;51.3
2010;08.12.2009;116;116;28.02.2010;218;415;01.04.2010;144.5;23.5;22.6;146.7;78.5;57.5;45.7;210;154;111;20.6;15.1;10.8;46.6
2011;26.11.2010;111;112;10.03.2011;139;387;14.04.2011;157.4;25.1;28.1;154.4;66.7;71.4;55.1;179;191;133;17.5;18.7;13.1;49.3
2012;20.12.2011;84;88;10.03.2012;149;424;21.04.2012;82.0;106.2;114.4;73.1;59.8;54.3;37.1;160;145;90;15.7;14.3;8.8;38.8
2013;02.12.2012;81;158;31.03.2013;186;483;18.04.2013;153.4;26.3;90.2;89.4;58.1;40.5;41.1;156;108;99;15.3;10.6;9.7;35.6
2014;06.12.2013;5;31;10.02.2014;272;272;01.03.2014;79.3;24.8;0.0;102.4;71.0;69.7;49.8;190;187;120;18.6;18.3;11.8;48.8
2015;17.11.2014;5;32;31.01.2015;233;242;06.03.2015;114.2;30.2;9.0;132.9;28.6;28.6;45.3;77;77;110;7.5;7.5;10.7;25.8
2016;27.12.2015;5;39;20.01.2016;116;284;13.03.2016;30.9;95.9;32.8;113.1;33.2;21.9;45.5;89;59;110;8.7;5.8;10.8;25.3
2017;11.11.2016;39;67;10.02.2017;218;311;14.03.2017;101.8;35.9;8.0;132.0;45.7;42.3;39.6;122;113;96;12.0;11.1;9.4;32.5
2018;08.01.2018;76;98;10.03.2018;167;366;13.04.2018;98.3;16.1;36.1;86.2;81.7;113.0;54.0;219;303;131;21.5;29.7;12.8;63.9
2019;12.11.2018;55;102;31.01.2019;130;258;27.03.2019;65.9;53.7;34.3;136.0;32.7;35.1;40.5;88;94;98;8.6;9.2;9.6;27.4
2021;30.11.2020;48;85;20.02.2021;170;361;10.04.2021;145.3;55.9;46.9;154.1;54.5;59.1;58.2;146;158;141;14.3;15.5;13.8;43.6
2022;04.12.2021;78;102;10.02.2022;258;416;24.04.2022;142.0;143.2;120.0;162.6;49.3;51.0;69.4;132;137;168;12.9;13.4;16.5;42.8
2023;17.11.2022;40;64;10.03.2023;216;444;01.04.2023;300.1;64.6;81.7;271.0;66.2;189.0;102.8;177;506;249;17.4;49.6;24.4;91.4
