year;d_0;S_2802;Smax;d_smax;H_2802;H_max;d_hmax;X;X1;X2;Xs;Q12;Q01;Q02;W12;W01;W02;Y12;Y01;Y02;Y_sum
1991;15.12.1990;12;43;20.02.1991;396;672;28.03.1991;68.9;34.8;22.3;90.1;420;304;202;1124.9;814.2;488.7;27;19.5;11.7;58.2
1992;05.12.1991;28;28;28.02.1992;292;812;02.04.1992;107;44.4;47.9;117;166;243;189;444.6;650.9;457.2;10.7;15.6;11;37.2
1993;27.11.1992;37;37;28.02.1993;355;741;13.04.1993;106;59.7;58.5;117;192;227;331;514.3;608;800.8;12.3;14.6;19.2;46.1
1994;07.11.1993;80;83;10.03.1994;217;1100;17.04.1994;167.3;57.2;67.4;157.9;125;161;112;334.8;431.2;271;8;10.3;6.5;24.9
1995;10.11.1994;11;20;20.01.1995;495;746;12.03.1995;79.3;95.3;9.1;160.8;173;209;346;463.4;559.8;837;11.1;13.4;20.1;44.6
1996;01.11.1995;78;83;31.03.1996;194;684;19.04.1996;140.3;6.7;21.7;123;138;104;87.4;369.6;278.6;211.4;8.9;6.7;5.1;20.6
1997;09.12.1996;8;33;10.01.1997;378;551;07.03.1997;31;73.1;8.6;98.2;420;182;173;1124.9;487.5;418.5;27;11.7;10;48.7
1998;26.11.1997;3;42;10.02.1998;622;656;01.03.1998;103.5;36.9;0;139.1;211;335;358;565.1;897.3;866.1;13.6;21.5;20.8;55.8
1999;08.11.1998;95;95;28.02.1999;291;1004;14.04.1999;138.3;55.7;53.7;140.7;222;277;213;594.6;741.9;515.3;14.3;17.8;12.4;44.4
2000;15.11.1999;39;50;31.01.2000;289;899;15.04.2000;120.4;154.6;139.9;170.3;130;135;160;348.2;361.6;387.1;8.3;8.7;9.3;26.3
2001;18.12.2000;55;82;10.03.2001;443;840;20.03.2001;134.3;18.7;43.9;114.2;339;252;266;908;675;643.5;21.8;16.2;15.4;53.4
2003;29.11.2002;50;55;20.02.2003;172;525;23.05.2003;84.9;148.6;148.5;85.2;66.2;63;66.6;177.3;168.7;161.1;4.3;4;3.9;12.2
2004;09.12.2003;138;140;10.03.2004;374;1082;31.03.2004;186.1;25.5;36.7;179.5;339;229;261;908;613.4;631.4;21.8;14.7;15.1;51.6
2005;17.11.2004;41;66;10.03.2005;390;818;14.04.2005;212;31.3;59.4;186.2;266;588;234;712.5;1574.9;566.1;17.1;37.8;13.6;68.4
2006;18.11.2005;53;88;20.03.2006;196;740;11.04.2006;184.2;45.2;78.4;149.5;102;88.8;73.6;273.2;237.8;178.1;6.6;5.7;4.3;16.5
2007;23.01.2007;50;50;28.02.2007;392;759;23.03.2007;49.2;34.4;31.4;52.8;428;665;274;1146.4;1781.1;662.9;27.5;42.7;15.9;86.1
2008;24.12.2007;0;25;20.02.2008;407;689;02.03.2008;61.4;30.7;12.4;82.7;205;149;165;549.1;399.1;399.2;13.2;9.6;9.6;32.3
2009;08.12.2008;69;75;20.03.2009;408;827;09.04.2009;136;56.8;45.3;122.8;399;152;258;1068.7;407.1;624.2;25.6;9.8;15;50.4
2010;10.12.2009;121;133;10.03.2010;297;1084;07.04.2010;156.4;49.4;61.6;149.2;438;224;150;1173.1;600;362.9;28.1;14.4;8.7;51.2
2011;26.11.2010;133;141;10.03.2011;325;947;13.04.2011;189.9;30.1;33;186.9;191;218;232;511.6;583.9;561.3;12.3;14;13.5;39.7
2012;20.12.2011;79;86;10.03.2012;293;936;26.04.2012;126.7;116.3;126.7;112.9;312;263;137;835.7;704.4;331.4;20;16.9;7.9;44.9
2013;02.12.2012;72;119;20.03.2013;320;1100;22.04.2013;153.7;31.1;68.6;118.3;426;260;202;1141;696.4;488.7;27.4;16.7;11.7;55.8
2014;13.01.2014;1;7;20.02.2014;354;453;30.03.2014;37.5;31.5;25.4;40.3;386;408;204;1033.9;1092.8;493.5;24.8;26.2;11.8;62.8
2015;18.11.2014;13;35;31.01.2015;280;494;21.04.2015;127;97.5;70.4;150;46.7;109;142;125.1;291.9;343.5;3;7;8.2;18.2
2016;27.12.2015;18;59;20.01.2016;229;513;04.05.2016;52;170.4;108.3;122.7;93;101;181;249.1;270.5;437.9;6;6.5;10.5;23
2017;04.11.2016;31;54;20.01.2017;356;700;04.03.2017;148.9;54.7;14.7;193.2;249;284;164;666.9;760.7;396.7;16;18.2;9.5;43.7
2018;08.01.2018;54;76;10.03.2018;321;760;13.04.2018;71.4;22.7;36.9;58.4;590;730;279;1580.3;1955.2;675;37.9;46.9;16.2;101
2019;20.11.2018;49;91;31.01.2019;224;522;27.03.2019;102.4;57.1;35.2;122.8;83.1;88.1;112;222.6;236;271;5.3;5.7;6.5;17.5
2020;22.11.2019;2;3;10.02.2020;442;564;15.03.2020;130;56.6;30.2;152.6;300;463;477;803.5;1240.1;1154;19.3;29.7;27.7;76.7
2021;06.12.2020;7;37;20.02.2021;344;687;07.04.2021;107.7;56.6;45.3;118.7;233;286;231;624.1;766;558.8;15;18.4;13.4;46.7
2022;04.12.2021;43;67;10.02.2022;418;655;16.04.2022;114.3;52.7;30;136.7;286;276;241;766;739.2;583;18.4;17.7;14;50.1
2023;17.11.2022;90;100;10.03.2023;322;1118;06.04.2023;284;102.9;118.6;261.4;169;706;390;452.6;1891;943.5;10.9;45.3;22.6;78.8
