year;d_0;S_2802;Smax;d_smax;H_2802;H_max;d_hmax;X;X1;X2;Xs;Q12;Q01;Q02;W12;W01;W02;Y12;Y01;Y02;Y_sum
1991;15.12.1990;25;36;20.02.1991;159;422;09.04.1991;53.4;28.8;20.6;61.8;264.0;223.0;126.0;707;597;305;18.2;15.4;7.8;41.4
1992;04.12.1991;25;25;28.02.1992;168;366;18.04.1992;76.0;47.4;47.4;76.0;153.0;165.0;149.0;410;442;360;10.5;11.4;9.3;31.2
1993;28.11.1992;23;26;10.03.1993;199;411;05.04.1993;94.7;31.6;35.4;91.5;151.0;145.0;221.0;404;388;535;10.4;10.0;13.7;34.1
1994;09.11.1993;61;61;10.03.1994;150;632;16.04.1994;132.7;52.6;62.2;122.6;115.0;194.0;147.0;308;520;356;7.9;13.4;9.1;30.4
1995;14.11.1994;25;33;20.01.1995;274;429;20.03.1995;94.7;77.2;11.4;161.7;104.0;132.0;196.0;279;354;474;7.2;9.1;12.2;28.4
1996;05.11.1995;24;34;10.03.1996;101;389;23.04.1996;95.4;21.4;33.1;84.3;112.0;80.7;73.5;300;216;178;7.7;5.6;4.6;17.8
1997;15.12.1996;4;36;10.02.1997;109;238;28.04.1997;42.2;92.3;22.3;63.0;142.0;94.5;104.0;380;253;252;9.8;6.5;6.5;22.8
1998;28.11.1997;0;29;10.02.1998;199;501;27.04.1998;85.8;140.0;113.3;111.6;115.0;161.0;181.0;308;431;438;7.9;11.1;11.3;30.3
1999;09.11.1998;67;75;20.03.1999;249;568;14.04.1999;113.1;18.0;36.7;94.5;298.0;241.0;222.0;798;645;537;20.5;16.6;13.8;50.9
2000;15.11.1999;62;67;20.03.2000;226;524;22.04.2000;130.3;49.0;71.0;107.6;142.0;177.0;198.0;380;474;479;9.8;12.2;12.3;34.3
2001;24.11.2000;56;64;10.03.2001;294;477;03.04.2001;151.5;14.2;33.9;130.6;200.0;286.0;237.0;536;766;573;13.8;19.7;14.7;48.2
2002;29.11.2001;0;58;20.01.2002;367;392;08.03.2002;39.4;68.5;8.4;100.3;117.0;105.0;337.0;313;281;815;8.1;7.2;21.0;36.2
2003;30.11.2002;51;55;20.02.2003;83;334;29.04.2003;56.2;55.2;54.7;57.0;78.2;68.7;75.1;209;184;182;5.4;4.7;4.7;14.8
2004;02.12.2003;88;98;10.03.2004;251;649;03.04.2004;210.5;46.3;56.1;204.3;158.0;74.3;82.3;423;199;199;10.9;5.1;5.1;21.1
2005;20.11.2004;58;86;20.03.2005;171;408;28.04.2005;187.8;35.8;79.5;143.8;68.1;138.0;139.0;182;370;336;4.7;9.5;8.6;22.8
2006;02.12.2005;49;83;20.03.2006;93;556;16.04.2006;129.1;67.4;105.4;94.8;120.0;112.0;84.0;321;300;203;8.3;7.7;5.2;21.2
2007;24.01.2007;78;78;28.02.2007;247;417;05.04.2007;67.4;21.8;19.3;69.8;205.0;205.0;195.0;549;549;472;14.1;14.1;12.1;40.4
2008;24.12.2007;9;24;31.01.2008;212;404;26.03.2008;32.1;99.6;62.1;71.9;217.0;127.0;178.0;581;340;431;14.9;8.7;11.1;34.8
2009;09.12.2008;49;64;20.01.2009;236;384;26.04.2009;54.8;118.4;58.8;114.9;141.0;123.0;173.0;378;329;419;9.7;8.5;10.8;28.9
2010;08.12.2009;114;114;28.02.2010;230;589;09.04.2010;158.5;25.2;24.4;160.8;331.0;203.0;162.0;887;544;392;22.8;14.0;10.1;46.8
2011;26.11.2010;97;97;28.02.2011;241;425;27.04.2011;166.2;31.8;31.8;166.2;146.0;183.0;209.0;391;490;506;10.1;12.6;13.0;35.7
2012;20.12.2011;79;85;10.03.2012;157;562;28.04.2012;109.7;119.9;128.6;100.5;126.0;141.0;123.0;337;378;298;8.7;9.7;7.6;26.0
2013;03.12.2012;69;132;30.03.2013;224;661;27.04.2013;187.7;32.5;101.7;115.5;202.0;153.0;178.0;541;410;431;13.9;10.5;11.1;35.5
2014;06.12.2013;5;29;10.02.2014;213;309;17.03.2014;78.1;38.1;14.5;100.3;208.0;209.0;187.0;557;560;452;14.3;14.4;11.6;40.3
2015;22.11.2014;2;15;31.01.2015;93;182;17.03.2015;114.9;33.5;12.4;131.3;58.5;80.7;111.0;157;216;269;4.0;5.6;6.9;16.5
2016;28.12.2015;3;35;20.01.2016;177;135;30.03.2016;31.1;116.8;47.4;122.3;74.0;50.1;118.0;198;134;285;5.1;3.4;7.3;15.9
2017;11.11.2016;0;57;10.01.2017;142;255;01.04.2017;76.0;67.9;31.2;119.0;95.4;93.9;96.0;256;252;232;6.6;6.5;6.0;19.0
2018;08.01.2018;79;106;10.03.2018;219;453;24.04.2018;108.0;30.1;54.5;86.6;179.0;254.0;179.0;479;680;433;12.3;17.5;11.1;40.9
2019;12.11.2018;46;93;31.01.2019;100;210;01.04.2019;117.0;48.5;31.2;134.6;71.0;81.8;120.0;190;219;290;4.9;5.6;7.5;18.0
2021;30.11.2020;52;88;25.02.2021;161;349;26.04.2021;149.2;64.4;63.6;150.0;106.0;132.0;159.0;284;354;385;7.3;9.1;9.9;26.3
2022;20.12.2021;49;82;10.02.2022;239;577;04.05.2022;109.3;156.0;135.8;127.0;146.0;167.0;167.0;391;447;404;10.1;11.5;10.4;31.9
2023;29.11.2022;29;51;10.03.2023;339;637;11.04.2023;232.8;84.9;103.3;207.6;161.0;406.0;553.0;431;1087;1338;11.1;28.0;34.4;73.4
