year;d_0;S_2802;Smax;d_smax;H_2802;H_max;d_hmax;X;X1;X2;X3;Xs
1977;12.12.1976;16;37;20.02.1977;69;241;17.03.1977;33;26;7;60;52
1978;28.11.1977;85;92;25.02.1978;247;340;12.03.1978;89;8;8;106;90
1979;02.12.1978;120;124;25.02.1979;52;628;05.04.1979;92;39;38;124;94
1980;12.12.1979;50;85;15.03.1980;40;342;12.04.1980;85;12;34;84;66
1981;31.10.1980;13;32;31.01.1981;46;282;30.03.1981;97;51;30;178;118
1982;06.12.1981;56;77;31.12.1981;104;399;06.03.1982;51;54;7;128;94
1983;03.02.1983;14;20;20.02.1983;28;269;06.04.1983;11;71;70;126;12
1984;08.12.1983;30;36;10.02.1984;4;206;05.04.1984;76;16;15;91;77
1985;12.11.1984;51;66;15.03.1985;120;336;02.04.1985;98;23;34;119;86
1986;15.11.1985;94;94;28.02.1986;222;329;09.04.1986;117;23;22;139;117
1987;08.12.1986;55;66;31.01.1987;151;350;02.04.1987;53;59;37;88;74
1988;05.12.1987;14;34;15.03.1988;163;401;06.04.1988;122;41;56;103;107
1989;30.11.1988;0;41;31.12.1988;152;161;05.03.1989;52;53;4;122;101
1991;16.12.1990;22;43;20.02.1991;208;243;18.03.1991;58;10;3;142;65
1992;05.12.1991;0;17;05.02.1992;162;182;04.03.1992;52;38;3;99;85
1993;30.12.1992;28;28;28.02.1993;110;237;22.03.1993;73;17;17;148;74
1994;10.11.1993;35;40;05.03.1994;145;378;24.03.1994;147;38;46;136;141
1995;15.12.1994;0;8;20.12.1994;218;234;11.03.1995;3;105;21;146;87
1996;18.11.1995;103;115;15.03.1996;106;377;20.04.1996;101;33;42;131;93
1999;15.11.1998;32;37;25.02.1999;114;305;09.04.1999;97;45;40;178;100
2001;19.12.2000;6;16;05.03.2001;109;169;17.03.2001;81;12;18;69;72
2003;30.11.2002;40;60;05.03.2003;116;256;14.03.2003;82;19;25;182;76
2004;01.01.2004;44;59;10.03.2004;157;272;02.04.2004;122;23;33;126;117
2005;16.01.2005;55;55;28.02.2005;197;232;30.03.2005;47;38;37;130;48
2006;19.11.2005;55;72;15.03.2006;132;289;17.04.2006;108;27;40;55;96
2007;23.01.2007;64;64;28.02.2007;220;363;05.03.2007;54;9;7;114;55
2008;22.12.2007;0;13;25.03.2008;145;160;05.03.2008;131;0;13;92;82
2009;13.12.2008;12;20;20.01.2009;126;186;02.04.2009;30;97;42;126;84
2010;11.12.2009;46;83;15.02.2010;137;327;07.04.2010;91;61;42;159;114
2011;26.11.2010;27;52;31.12.2010;344;261;12.03.2011;45;70;2;152;110
2012;14.01.2012;15;47;20.02.2012;140;205;18.03.2012;34;34;14;69;53
2013;02.12.2012;57;92;05.04.2013;136;314;18.04.2013;195;25;67;130;39
2015;24.11.2014;0;10;10.02.2015;114;143;14.03.2015;93;18;9;127;102
2017;05.01.2017;0;38;20.01.2017;219;296;04.03.2017;2;37;4;227;48
2018;08.01.2018;15;30;05.03.2018;100;249;19.03.2018;59;12;20;180;55
2019;21.11.2018;0;30;31.01.2019;140;171;23.03.2019;134;54;38;94;87
2021;07.12.2020;19;80;15.02.2021;89;193;18.03.2021;155;14;13;92;142
