year;d_0;S_2802;Smax;d_smax;H_2802;H_max;d_hmax;X;X1;X2;Xs
1991;06.12.1990;42;60;20.02.1991;227;545;11.04.1991;75.8;35.6;20.6;67.1
1992;05.12.1991;66;66;28.02.1992;184;683;31.03.1992;120;48.7;47.2;109.3
1993;23.11.1992;58;58;28.02.1993;190;614;12.04.1993;130;38.7;38.4;69.5
1994;07.11.1993;115;116;10.03.1994;133;876;16.04.1994;169;42.9;48.2;139.6
1995;11.11.1994;46;46;28.02.1995;363;625;10.03.1995;146;11.7;10.3;111.6
1996;01.11.1995;75;87;20.02.1996;118;482;17.04.1996;85.9;31.3;16.2;100.6
1997;09.12.1996;28;48;10.02.1997;260;464;13.03.1997;63.1;31.9;6.5;91.6
1998;26.11.1997;12;83;10.02.1998;403;522;23.04.1998;102.3;73.3;44.1;132.6
1999;08.11.1998;141;141;28.02.1999;199;824;16.04.1999;155;51.9;50;101.2
2000;15.11.1999;67;77;20.02.2000;193;754;16.04.2000;150.1;104.5;97.4;156.3
2001;18.12.2000;76;119;10.03.2001;241;664;11.04.2001;98.8;15.2;30.7;97.1
2002;28.11.2001;45;84;20.01.2002;382;536;18.03.2002;23.4;89.9;24;72.8
2003;29.11.2002;71;76;20.02.2003;94;423;25.04.2003;61.2;38.2;38;76
2004;01.12.2003;173;173;28.02.2004;262;814;26.03.2004;173;15.3;32.7;139.4
2005;17.11.2004;45;85;31.03.2005;252;668;14.04.2005;214;65;45;267.2
2006;18.11.2005;92;127;20.03.2006;121;579;17.04.2006;293.5;90.8;120.4;260
2007;23.01.2007;44;44;28.02.2007;266;588;23.03.2007;38.5;36.3;33.4;40.6
2008;24.12.2007;0;40;20.02.2008;308;516;04.03.2008;61.7;37.1;16.8;85
2009;08.12.2008;85;89;10.03.2009;275;661;08.04.2009;135.4;39.1;50;126.1
2010;08.12.2009;148;148;28.02.2010;179;809;08.04.2010;149;47.4;46;151
2011;27.11.2010;137;175;20.03.2011;192;724;14.04.2011;188.4;32;40.1;179.4
2012;20.12.2011;105;124;10.03.2012;173;825;24.04.2012;112.7;102.9;113.5;99.2
2013;02.12.2012;90;148;20.03.2013;199;862;20.04.2013;142.8;29.7;70.5;105.5
2014;06.12.2013;3;13;15.02.2014;218;366;29.03.2014;102.8;33.7;19.6;116.5
2015;16.11.2014;38;63;10.02.2015;139;421;20.04.2015;135;73.1;66.2;142.2
2016;27.12.2015;31;69;05.03.2016;139;431;17.04.2016;128.7;45.8;65.7;122.7
2017;04.11.2016;61;67;20.02.2017;320;621;10.03.2017;161.9;49.7;22.4;186.4
2018;08.01.2018;67;82;10.03.2018;323;608;12.04.2018;67.8;22.4;33.8;56.4
2019;20.11.2018;90;119;31.01.2019;280;434;27.03.2019;100.7;62.7;43.6;118.6
2020;22.11.2019;2;6;10.02.2020;383;482;13.03.2020;115.3;53.7;30.5;135
2021;01.12.2020;20;65;25.02.2021;302;594;06.04.2021;110.3;50.6;47;113.7
2022;04.12.2021;79;92;10.02.2022;348;576;17.04.2022;98.9;58.4;35.8;121.4
2023;16.11.2022;117;134;10.03.2023;331;510;06.04.2023;262.5;89;18.2;245.4
